               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10766,            0.066095,                   0,             0.22428,              0.3536,             0.17509,             0.03754,            0.092683,             0.06666,                   0,              0.0706,           0.0032667,           0.0032667
                   1,             0.07964,            0.054718,                   0,             0.15859,             0.52342,             0.16582,            0.050454,            0.088348,            0.034088,                   0,            0.040382,           0.0063822,           0.0063822
                   2,            0.072928,            0.049513,                   0,             0.23947,             0.71143,             0.24117,            0.072367,            0.073038,            0.033135,                   0,           0.0099444,           0.0092777,           0.0092777
                   3,            0.062759,            0.047971,                   0,             0.56167,             0.62989,             0.62932,             0.21997,            0.057389,            0.033343,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.052194,            0.048232,                   0,             0.69559,             0.74641,             0.76218,             0.34597,            0.052024,            0.032353,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.046015,            0.044252,                   0,             0.81853,             0.85259,             0.88281,             0.38744,            0.043935,            0.031264,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.041065,            0.042553,                   0,             0.91432,             0.83987,             0.91979,             0.54562,            0.034561,            0.028709,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.037651,            0.040435,                   0,             0.87457,             0.87976,             0.92061,              0.5253,            0.033794,            0.027871,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.036552,            0.042852,                   0,             0.94816,             0.89106,             0.95153,             0.61382,            0.028976,            0.026661,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.034486,            0.040451,                   0,             0.96113,             0.88039,             0.94939,             0.62477,              0.0276,             0.02638,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.032744,            0.039234,                   0,             0.94691,             0.89631,             0.95372,             0.64216,            0.027606,            0.026652,                   0,             0.00703,             0.00703,             0.00703
                  11,              0.0312,            0.038693,                   0,             0.95661,             0.89382,             0.95416,             0.65436,            0.025958,            0.025836,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.029802,            0.037753,                   0,             0.95104,             0.89774,             0.95639,             0.67428,            0.025114,            0.025768,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.028117,            0.037411,                   0,             0.95266,             0.90491,             0.96009,             0.67433,            0.024786,            0.025735,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.027722,            0.036874,                   0,             0.94719,              0.9187,             0.96187,             0.68823,            0.024395,             0.02502,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.027302,             0.03583,                   0,             0.96094,             0.90256,              0.9591,             0.68968,            0.023588,            0.024637,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.025624,            0.033538,                   0,             0.95605,             0.91006,             0.95844,             0.68829,            0.023531,            0.024558,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.025673,            0.034485,                   0,             0.94405,             0.91683,             0.95663,             0.70844,            0.022893,             0.02471,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.024571,            0.034579,                   0,             0.96648,              0.9006,             0.95955,              0.7137,            0.022008,            0.024469,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.02387,             0.03448,                   0,              0.9597,             0.90818,             0.96157,               0.713,            0.021511,            0.024273,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.023413,            0.034005,                   0,             0.94065,             0.92059,             0.96041,             0.71953,            0.020767,            0.023983,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.022762,            0.033217,                   0,             0.95839,              0.9138,             0.96035,             0.73229,            0.020284,            0.023452,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.021815,            0.032941,                   0,             0.96094,             0.90665,             0.96173,             0.72074,            0.020592,            0.023694,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.021889,            0.033127,                   0,             0.95551,             0.91505,             0.96228,             0.73802,            0.019817,            0.023383,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.020331,            0.032039,                   0,             0.95094,             0.92018,             0.96204,             0.73548,            0.019763,            0.023174,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.020542,            0.031889,                   0,             0.95983,              0.9104,             0.96328,             0.74124,            0.019326,            0.023068,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.019805,            0.031111,                   0,             0.96477,             0.90662,             0.96262,             0.74076,            0.019318,            0.023164,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.019421,            0.030358,                   0,             0.94946,             0.91529,             0.95945,             0.74062,             0.01922,            0.023079,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.019591,            0.031394,                   0,             0.95254,             0.91568,             0.96223,             0.74254,             0.01907,             0.02316,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.019428,            0.030776,                   0,             0.95827,             0.91193,             0.96244,             0.74735,            0.019007,            0.023164,                   0,             0.00076,             0.00076,             0.00076
